date,game_pk,away,home,away_name,home_name,away_sp_name,home_sp_name,p_home_win,pick,confidence,fair_ml_home,predicted_at,model,p_over_8_5,p_over_9_5,p_one_run,p_extras,p_home_by_1,p_away_by_1,p_home_win_and_over,p_away_win_and_over,p_both_score,p_margin_ge3,exp_total,home_win,correct,p_f5_home_lead,p_f5_over_4_5,p_f5_tie
2026-07-26,822950,CLE,TBA,Cleveland Guardians,Tampa Bay Rays,Parker Messick,Drew Rasmussen,0.5410418983495093,Tampa Bay Rays,0.5410418983495093,-118,2026-07-26T18:29:48+00:00Z,ensemble_log_gbm,,,,,,,,,,,,1.0,1.0,,,
2026-07-26,822706,AZ,WAS,Arizona Diamondbacks,Washington Nationals,Kohl Drake,Miles Mikolas,0.5194973343851776,Washington Nationals,0.5194973343851776,-108,2026-07-26T18:29:48+00:00Z,ensemble_log_gbm,,,,,,,,,,,,1.0,1.0,,,
2026-07-26,823354,CHN,PIT,Chicago Cubs,Pittsburgh Pirates,Jameson Taillon,Braxton Ashcraft,0.4786161431714774,Chicago Cubs,0.5213838568285225,109,2026-07-26T18:29:48+00:00Z,ensemble_log_gbm,,,,,,,,,,,,1.0,0.0,,,
2026-07-26,824730,TOR,BOS,Toronto Blue Jays,Boston Red Sox,Kevin Gausman,Ranger Suarez,0.5696505711597983,Boston Red Sox,0.5696505711597983,-132,2026-07-26T18:29:48+00:00Z,ensemble_log_gbm,,,,,,,,,,,,1.0,1.0,,,
2026-07-26,824810,ATL,BAL,Atlanta Braves,Baltimore Orioles,Reynaldo López,Shane Baz,0.5060280210211241,Baltimore Orioles,0.5060280210211241,-102,2026-07-26T18:29:48+00:00Z,ensemble_log_gbm,,,,,,,,,,,,0.0,0.0,,,
2026-07-26,824246,KCA,DET,Kansas City Royals,Detroit Tigers,Luinder Avila,Framber Valdez,0.5924377932812188,Detroit Tigers,0.5924377932812188,-145,2026-07-26T18:29:48+00:00Z,ensemble_log_gbm,,,,,,,,,,,,0.0,0.0,,,
2026-07-26,823599,LAN,NYN,Los Angeles Dodgers,New York Mets,Emmet Sheehan,Freddy Peralta,0.3981598297188677,Los Angeles Dodgers,0.6018401702811322,151,2026-07-26T18:29:48+00:00Z,ensemble_log_gbm,,,,,,,,,,,,1.0,0.0,,,
2026-07-26,823840,SDN,MIA,San Diego Padres,Miami Marlins,Walker Buehler,Janson Junk,0.5586021869915646,Miami Marlins,0.5586021869915646,-127,2026-07-26T18:29:48+00:00Z,ensemble_log_gbm,,,,,,,,,,,,0.0,0.0,,,
2026-07-26,823678,OAK,MIN,Athletics,Minnesota Twins,Jeffrey Springs,Connor Prielipp,0.572821752395601,Minnesota Twins,0.572821752395601,-134,2026-07-26T18:29:48+00:00Z,ensemble_log_gbm,,,,,,,,,,,,1.0,1.0,,,
2026-07-26,824572,HOU,CHA,Houston Astros,Chicago White Sox,Ronel Blanco,Erick Fedde,0.5619304061267734,Chicago White Sox,0.5619304061267734,-128,2026-07-26T18:29:48+00:00Z,ensemble_log_gbm,,,,,,,,,,,,1.0,1.0,,,
2026-07-26,823755,COL,MIL,Colorado Rockies,Milwaukee Brewers,Kyle Freeland,Jacob Misiorowski,0.6227248366025637,Milwaukee Brewers,0.6227248366025637,-165,2026-07-26T18:29:48+00:00Z,ensemble_log_gbm,,,,,,,,,,,,1.0,1.0,,,
2026-07-26,823028,CIN,SLN,Cincinnati Reds,St. Louis Cardinals,Andrew Abbott,Kyle Leahy,0.5634886150550047,St. Louis Cardinals,0.5634886150550047,-129,2026-07-26T18:29:48+00:00Z,ensemble_log_gbm,,,,,,,,,,,,0.0,0.0,,,
2026-07-26,822870,SEA,TEX,Seattle Mariners,Texas Rangers,Logan Gilbert,Jacob deGrom,0.5043530168157735,Texas Rangers,0.5043530168157735,-102,2026-07-26T18:29:48+00:00Z,ensemble_log_gbm,,,,,,,,,,,,0.0,0.0,,,
2026-07-26,823194,ANA,SFN,Los Angeles Angels,San Francisco Giants,José Soriano,Carson Whisenhunt,0.5174021909484521,San Francisco Giants,0.5174021909484521,-107,2026-07-26T18:29:48+00:00Z,ensemble_log_gbm,,,,,,,,,,,,0.0,0.0,,,
2026-07-26,823433,NYA,PHI,New York Yankees,Philadelphia Phillies,Will Warren,Cristopher Sánchez,0.4660924886171287,New York Yankees,0.5339075113828713,115,2026-07-26T18:29:48+00:00Z,ensemble_log_gbm,,,,,,,,,,,,1.0,0.0,,,
2026-07-27,822868,SEA,TEX,Seattle Mariners,Texas Rangers,George Kirby,Kumar Rocker,0.4975303121308516,Seattle Mariners,0.5024696878691484,101,2026-07-27T18:15:34+00:00Z,ensemble_log_gbm_rf,,,,,,,,,,,,,,,,
2026-07-27,824245,BAL,DET,Baltimore Orioles,Detroit Tigers,Kyle Bradish,Keider Montero,0.5391483988894565,Detroit Tigers,0.5391483988894565,-117,2026-07-27T18:15:34+00:00Z,ensemble_log_gbm_rf,,,,,,,,,,,,,,,,
2026-07-27,823353,AZ,PIT,Arizona Diamondbacks,Pittsburgh Pirates,Merrill Kelly,Mitch Keller,0.5215319950106304,Pittsburgh Pirates,0.5215319950106304,-109,2026-07-27T18:15:34+00:00Z,ensemble_log_gbm_rf,,,,,,,,,,,,,,,,
2026-07-27,823839,PHI,MIA,Philadelphia Phillies,Miami Marlins,Zack Wheeler,Tyler Phillips,0.5188972494014563,Miami Marlins,0.5188972494014563,-108,2026-07-27T18:15:34+00:00Z,ensemble_log_gbm_rf,,,,,,,,,,,,,,,,
2026-07-27,822705,TOR,WAS,Toronto Blue Jays,Washington Nationals,Max Scherzer,Eddy Yean,0.5395281820049481,Washington Nationals,0.5395281820049481,-117,2026-07-27T18:15:34+00:00Z,ensemble_log_gbm_rf,,,,,,,,,,,,,,,,
2026-07-27,824490,CLE,CIN,Cleveland Guardians,Cincinnati Reds,Slade Cecconi,Chase Burns,0.4926559655665262,Cleveland Guardians,0.5073440344334739,103,2026-07-27T18:15:34+00:00Z,ensemble_log_gbm_rf,,,,,,,,,,,,,,,,
2026-07-27,823597,ATL,NYN,Atlanta Braves,New York Mets,Martín Pérez,Zac Thornton,0.4643424715224893,Atlanta Braves,0.5356575284775107,115,2026-07-27T18:15:34+00:00Z,ensemble_log_gbm_rf,,,,,,,,,,,,,,,,
2026-07-27,824570,NYA,CHA,New York Yankees,Chicago White Sox,Max Fried,Noah Schultz,0.5452404769738414,Chicago White Sox,0.5452404769738414,-120,2026-07-27T18:15:34+00:00Z,ensemble_log_gbm_rf,,,,,,,,,,,,,,,,
2026-07-27,823025,CHN,SLN,Chicago Cubs,St. Louis Cardinals,David Peterson,TBD,0.490273657425685,Chicago Cubs,0.509726342574315,104,2026-07-27T18:15:34+00:00Z,ensemble_log_gbm_rf,,,,,,,,,,,,,,,,
2026-07-27,824001,HOU,ANA,Houston Astros,Los Angeles Angels,Tatsuya Imai,Walbert Ureña,0.5081632312653223,Los Angeles Angels,0.5081632312653223,-103,2026-07-27T18:15:34+00:00Z,ensemble_log_gbm_rf,,,,,,,,,,,,,,,,
2026-07-27,824977,BOS,OAK,Boston Red Sox,Athletics,Payton Tolle,Jack Perkins,0.3941065522126443,Boston Red Sox,0.6058934477873557,154,2026-07-27T18:15:34+00:00Z,ensemble_log_gbm_rf,,,,,,,,,,,,,,,,
2026-07-27,823195,MIL,SFN,Milwaukee Brewers,San Francisco Giants,Brandon Sproat,Tyler Mahle,0.4301691358930427,Milwaukee Brewers,0.5698308641069574,132,2026-07-27T18:15:34+00:00Z,ensemble_log_gbm_rf,,,,,,,,,,,,,,,,
2026-07-20,824410,MIN,CLE,Minnesota Twins,Cleveland Guardians,Joe Ryan,Tanner Bibee,0.5850256029631101,Cleveland Guardians,0.5850256029631101,-141,2026-07-31T07:20:31+00:00Z,ensemble_log_gbm_rf,0.49875,0.4021666666666667,0.2928333333333333,0.0955833333333333,0.1893333333333333,0.1035,0.29125,0.2075,0.8696666666666667,0.5301666666666667,9.067583333333332,1.0,1.0,,,
2026-07-20,823522,PIT,NYA,Pittsburgh Pirates,New York Yankees,Braxton Ashcraft,Ryan Weathers,0.5356455743220958,New York Yankees,0.5356455743220958,-115,2026-07-31T07:20:31+00:00Z,ensemble_log_gbm_rf,0.49775,0.4006666666666666,0.2938333333333333,0.095,0.1813333333333333,0.1125,0.26175,0.236,0.8745833333333334,0.5345833333333333,9.095083333333331,1.0,1.0,,,
2026-07-20,822788,TBA,TOR,Tampa Bay Rays,Toronto Blue Jays,Nick Martinez,Dylan Cease,0.4591016820483802,Tampa Bay Rays,0.5408983179516198,118,2026-07-31T07:20:31+00:00Z,ensemble_log_gbm_rf,0.5045833333333334,0.4068333333333333,0.2849166666666666,0.09125,0.1705,0.1144166666666666,0.2180833333333333,0.2865,0.8664166666666666,0.5413333333333333,9.136083333333334,0.0,1.0,,,
2026-07-20,824736,BAL,BOS,Baltimore Orioles,Boston Red Sox,Shane Baz,Payton Tolle,0.5521746434641366,Boston Red Sox,0.5521746434641366,-123,2026-07-31T07:20:31+00:00Z,ensemble_log_gbm_rf,0.5,0.3998333333333333,0.2935,0.0889166666666666,0.1821666666666666,0.1113333333333333,0.2683333333333333,0.2316666666666666,0.8644166666666667,0.5314166666666666,9.058583333333331,1.0,1.0,,,
2026-07-20,823436,LAN,PHI,Los Angeles Dodgers,Philadelphia Phillies,Emmet Sheehan,Cristopher Sánchez,0.5182175975222563,Philadelphia Phillies,0.5182175975222563,-108,2026-07-31T07:20:31+00:00Z,ensemble_log_gbm_rf,0.5016666666666667,0.4074166666666666,0.2899166666666666,0.0946666666666666,0.1781666666666666,0.11175,0.2506666666666666,0.251,0.8684166666666666,0.53775,9.118583333333332,1.0,1.0,,,
2026-07-20,824898,SDN,ATL,San Diego Padres,Atlanta Braves,JP Sears,Bryce Elder,0.58859005393839,Atlanta Braves,0.58859005393839,-143,2026-07-31T07:20:31+00:00Z,ensemble_log_gbm_rf,0.49,0.3915833333333333,0.287,0.09425,0.1809166666666666,0.1060833333333333,0.2840833333333333,0.2059166666666666,0.86275,0.5365833333333333,8.9505,1.0,1.0,,,
2026-07-20,824087,SFN,KCA,San Francisco Giants,Kansas City Royals,Trevor McDonald,Michael Wacha,0.5145279828739692,Kansas City Royals,0.5145279828739692,-106,2026-07-31T07:20:31+00:00Z,ensemble_log_gbm_rf,0.5010833333333333,0.40525,0.2910833333333333,0.0958333333333333,0.1798333333333333,0.11125,0.2468333333333333,0.25425,0.866,0.5325833333333333,9.0835,1.0,1.0,,,
2026-07-20,823762,NYN,MIL,New York Mets,Milwaukee Brewers,Freddy Peralta,Jacob Misiorowski,0.6331696264659548,Milwaukee Brewers,0.6331696264659548,-173,2026-07-31T07:20:31+00:00Z,ensemble_log_gbm_rf,0.4948333333333333,0.3978333333333333,0.2863333333333333,0.0955,0.1844166666666666,0.1019166666666666,0.3165,0.1783333333333333,0.8623333333333333,0.5421666666666667,8.993166666666667,1.0,1.0,,,
2026-07-20,824654,DET,CHN,Detroit Tigers,Chicago Cubs,Jack Flaherty,Jameson Taillon,0.5470554570696148,Chicago Cubs,0.5470554570696148,-121,2026-07-31T07:20:31+00:00Z,ensemble_log_gbm_rf,0.49775,0.3995833333333333,0.2889166666666666,0.096,0.178,0.1109166666666666,0.2730833333333333,0.2246666666666666,0.8678333333333333,0.5365,9.06225,0.0,0.0,,,
2026-07-20,822874,CHA,TEX,Chicago White Sox,Texas Rangers,Erick Fedde,Jacob deGrom,0.4729161590966355,Chicago White Sox,0.5270838409033645,111,2026-07-31T07:20:31+00:00Z,ensemble_log_gbm_rf,0.4958333333333333,0.4015,0.2836666666666667,0.0905833333333333,0.1704166666666666,0.11325,0.2195,0.2763333333333333,0.8635833333333334,0.53925,9.05725,0.0,1.0,,,
2026-07-20,824167,MIA,HOU,Miami Marlins,Houston Astros,Janson Junk,Ronel Blanco,0.488537210300392,Miami Marlins,0.511462789699608,105,2026-07-31T07:20:31+00:00Z,ensemble_log_gbm_rf,0.5,0.4096666666666667,0.28475,0.0960833333333333,0.1746666666666666,0.1100833333333333,0.237,0.263,0.8645,0.5389166666666667,9.119333333333334,1.0,0.0,,,
2026-07-20,824328,WAS,COL,Washington Nationals,Colorado Rockies,Andrew Alvarez,Kyle Freeland,0.4965027153523942,Washington Nationals,0.5034972846476058,101,2026-07-31T07:20:31+00:00Z,ensemble_log_gbm_rf,0.5036666666666667,0.4008333333333333,0.2835833333333333,0.0943333333333333,0.1688333333333333,0.11475,0.2394166666666666,0.26425,0.8665833333333334,0.53825,9.056166666666666,0.0,1.0,,,
2026-07-20,825058,OAK,AZ,Athletics,Arizona Diamondbacks,Jeffrey Springs,Mitch Bratt,0.6516941499263939,Arizona Diamondbacks,0.6516941499263939,-187,2026-07-31T07:20:31+00:00Z,ensemble_log_gbm_rf,0.48925,0.396,0.2825,0.0885833333333333,0.1899166666666666,0.0925833333333333,0.3298333333333333,0.1594166666666666,0.8565833333333334,0.5573333333333333,8.9735,0.0,0.0,,,
